id,pergunta,resposta
31,O concurso PETROBRAS contém provas objetivas?,"Sim. O concurso PETROBRAS possui provas objetivas de caráter eliminatório e classificatório para todas as ênfases.
As provas são divididas em:
conhecimentos básicos (P1);
conhecimentos específicos (P2)."
32,Quantas questões ou itens objetivos existem no concurso PETROBRAS?,"O concurso PETROBRAS possui um total de
120 itens objetivos, distribuídos da seguinte forma:
50 itens
de conhecimentos básicos (P1);
70 itens
de conhecimentos específicos (P2).
Os itens seguem o modelo de julgamento
Certo ou Errado."
33,Qual o total de pontos das provas objetivas para o concurso PETROBRAS?,"As provas objetivas do concurso PETROBRAS valem, ao todo,
120 pontos."
34,Quantas alternativas existem para as questões objetivas do concurso PETROBRAS?,"As questões objetivas do concurso PETROBRAS seguem o modelo
Certo ou Errado.
Assim, cada item possui
duas alternativas:
C
(Certo);
E
(Errado)."
35,Quantas questões ou itens de conhecimentos básicos existem no concurso PETROBRAS?,"A prova de conhecimentos básicos (P1) do concurso PETROBRAS possui
50 itens objetivos."
36,Quantas questões ou itens de conhecimentos específicos existem no concurso PETROBRAS?,"A prova de conhecimentos específicos (P2) do concurso PETROBRAS possui
70 itens objetivos."
37,Como é dividida a prova de conhecimentos específicos de Ciência de Dados no concurso PETROBRAS?,"A prova de conhecimentos específicos da área de
Ciência de Dados (Ênfase 7)
é composta por
70 itens objetivos, no modelo
Certo ou Errado, abrangendo conteúdos específicos da área previstos no Anexo III do edital, como:
Matemática e Estatística;
Probabilidade;
Programação;
Banco de Dados;
Aprendizado de Máquina;
Mineração de Dados;
Big Data;
Inteligência Artificial;
Processamento de Linguagem Natural;
Visualização de Dados;
Engenharia de Software e temas correlatos."
38,Qual é o critério mínimo de aprovação na prova objetiva do concurso PETROBRAS?,"Será eliminado do concurso PETROBRAS o candidato que obtiver:
menos de
10 pontos
na prova de conhecimentos básicos (P1);
menos de
21 pontos
na prova de conhecimentos específicos (P2);
ou menos de
36 pontos
no total das provas objetivas.
Portanto, para ser aprovado, o candidato precisa atingir simultaneamente esses três mínimos."
39,Existe penalidade por erro na prova objetiva do concurso PETROBRAS?,"Sim. O concurso PETROBRAS utiliza o sistema “Certo ou Errado” do Cebraspe, com penalidade por erro.
A pontuação funciona assim:
resposta correta:
+1 ponto;
resposta errada:
−1 ponto;
item em branco ou com dupla marcação:
0 ponto."
40,O concurso PETROBRAS possui prova discursiva para Ciência de Dados?,"Não. Para a área de
Ciência de Dados (Ênfase 7), o concurso PETROBRAS não possui prova discursiva.
A seleção é composta apenas por:
provas objetivas de conhecimentos básicos;
provas objetivas de conhecimentos específicos."
41,Como é composta a prova discursiva de Ciência de Dados no concurso PETROBRAS?,"Não há prova discursiva para a área de
Ciência de Dados (Ênfase 7)
no concurso PETROBRAS.
A seleção dessa ênfase é composta apenas por:
prova objetiva de conhecimentos básicos (50 itens);
prova objetiva de conhecimentos específicos (70 itens)."
42,Quantos pontos vale a prova discursiva do concurso PETROBRAS?,"O edital do concurso PETROBRAS/PSP RH 2021 não prevê prova discursiva para os cargos de nível superior, incluindo Ciência de Dados.
Por isso, não há pontuação atribuída a prova discursiva."
43,Qual é a nota mínima da prova discursiva no concurso PETROBRAS?,"Não existe nota mínima para prova discursiva no concurso PETROBRAS/PSP RH 2021, porque o edital não prevê prova discursiva para os cargos de nível superior, incluindo Ciência de Dados."
44,Quantas provas discursivas de Ciência de Dados serão corrigidas no concurso PETROBRAS?,"Nenhuma. O concurso PETROBRAS não possui prova discursiva para a área de Ciência de Dados (Ênfase 7). Portanto, não há correção de provas discursivas para essa ênfase."
45,Como é calculada a nota final do concurso PETROBRAS para Ciência de Dados?,"Para a área de
Ciência de Dados (Ênfase 7), a nota final do concurso PETROBRAS é calculada pela
soma das notas obtidas nas provas objetivas:
nota da prova de conhecimentos básicos (P1);
nota da prova de conhecimentos específicos (P2).
Assim:
Nota Final = P1 + P2."
46,Qual é a data prevista ou oficial da prova do concurso PETROBRAS?,"A data prevista para realização das provas objetivas do concurso PETROBRAS/PSP RH 2021 foi
20 de fevereiro de 2022, no turno da tarde."
47,Qual é a duração ou organização dos turnos de prova do concurso PETROBRAS?,"As provas objetivas do concurso PETROBRAS têm duração de
4 horas
e são realizadas no
turno da tarde."
48,Qual tipo de caneta pode ser utilizado para realizar o concurso PETROBRAS?,"No concurso PETROBRAS, o candidato deve utilizar
caneta esferográfica de tinta preta fabricada em material transparente."
49,Como o candidato deve se identificar no dia da prova do concurso PETROBRAS?,"No dia da prova do concurso PETROBRAS, o candidato deve apresentar:
documento de identidade original com foto, aceito pelo edital;
comprovante de inscrição ou comprovante de pagamento da taxa de inscrição.
O edital também prevê identificação especial em casos específicos, como perda ou roubo do documento, mediante apresentação de boletim de ocorrência."
50,Quais cuidados o candidato deve ter com o cartão ou folha de respostas no concurso PETROBRAS?,"No concurso PETROBRAS, o candidato deve tomar os seguintes cuidados com a folha de respostas:
preencher a folha conforme as instruções do edital e da própria folha;
marcar apenas uma opção por item (C ou E);
evitar rasuras, emendas ou marcações indevidas;
não amassar, molhar, dobrar, rasgar ou manchar a folha;
conferir os dados pessoais impressos, como nome e número de inscrição;
devolver obrigatoriamente a folha de respostas ao final da prova.
O edital informa que a folha de respostas é o único documento válido para correção das provas."
