id,pergunta,resposta
11,Qual entidade está responsável pela organização e execução do concurso PETROBRAS?,"De acordo com o item
1.1
do edital, a entidade responsável pela organização e execução do concurso é o:
Centro Brasileiro de Pesquisa em Avaliação e Seleção e de Promoção de Eventos (Cebraspe)
Algumas informações importantes sobre o Cebraspe no contexto do concurso:
Contato e atendimento:
Endereço:
Universidade de Brasília (UnB) – Campus Universitário Darcy Ribeiro, Sede do Cebraspe – Asa Norte, Brasília/DF
Telefone:
(61) 3448-0100
E-mail:
sac@cebraspe.org.br
Caixa Postal:
4488, CEP 70842-970, Brasília/DF
Site:
http://www.cebraspe.org.br/concursos/petrobras_21_ns
Horário de atendimento presencial:
Das
8h30
às
18h30, ininterruptamente, exceto sábados, domingos e feriados
Vale destacar que, embora o Cebraspe fosse responsável pela
organização e execução
do concurso, o processo seletivo foi realizado pela
Petróleo Brasileiro S.A. (Petrobras), que é a empresa contratante e responsável pelas decisões finais do processo."
12,Quantas fases ou etapas tem o concurso PETROBRAS?,"De acordo com o item
1.2
do edital, o concurso da Petrobras foi constituído das seguintes fases:
Para todas as ênfases (exceto Ênfase 19):
O processo seletivo era composto de
uma fase, sendo:
(P1) Prova Objetiva
de Conhecimentos Básicos — 50 itens — caráter
eliminatório e classificatório
(P2) Prova Objetiva
de Conhecimentos Específicos — 70 itens — caráter
eliminatório e classificatório
Para a Ênfase 19: Engenharia de Segurança de Processo:
O processo seletivo tinha
duas fases, sendo:
(P1) Prova Objetiva
de Conhecimentos Básicos — 50 itens — caráter
eliminatório e classificatório
(P2) Prova Objetiva
de Conhecimentos Específicos — 70 itens — caráter
eliminatório e classificatório
(P3) Avaliação de Títulos
— caráter
classificatório
Além disso, para todos os candidatos, havia ainda:
Avaliação multiprofissional
— para candidatos que solicitaram concorrer como pessoa com deficiência
Procedimento de heteroidentificação
— para candidatos autodeclarados negros
Comprovação de requisitos
— caráter eliminatório
Exames médicos admissionais
— caráter eliminatório"
13,Qual é o prazo de validade do concurso PETROBRAS?,"De acordo com o item
11.5
do edital, o prazo de validade do concurso é:
12 meses, a contar da data de publicação do edital de homologação dos resultados finais.
Com a possibilidade de ser
prorrogado por mais 12 meses, desde que:
Seja prorrogado
uma única vez
A prorrogação ocorra a
critério da Petrobras
Informações complementares sobre o resultado e convocações:
Sobre a homologação (item 11.1):
O resultado final seria homologado e publicado no
Diário Oficial da União (DOU)
Divulgado também nos endereços eletrônicos:
http://www.cebraspe.org.br/concursos/petrobras_21_ns
www.petrobras.com.br
Sobre as convocações (item 11.3):
As convocações obedeceriam rigorosamente à
ordem de classificação final
por ênfase
Ocorreriam de acordo com a
necessidade e conveniência da Petrobras
Sobre o cadastro de reserva (item 11.2):
Fariam parte do cadastro os candidatos aprovados dentro das classificações abrangidas por até
cinco vezes o número de vagas
oferecidas por ênfase"
14,Em quais cidades ou locais as provas do concurso PETROBRAS serão realizadas?,"De acordo com o item
1.3
do edital, as provas seriam realizadas nas:
26 capitais das Unidades da Federação e no Distrito Federal
Ou seja, nas seguintes cidades:
Porto Velho (RO)
Rio Branco (AC)
Manaus (AM)
Boa Vista (RR)
Belém (PA)
Macapá (AP)
Palmas (TO)
São Luís (MA)
Teresina (PI)
Fortaleza (CE)
Natal (RN)
João Pessoa (PB)
Recife (PE)
Maceió (AL)
Aracaju (SE)
Salvador (BA)
Belo Horizonte (MG)
Vitória (ES)
Rio de Janeiro (RJ)
São Paulo (SP)
Curitiba (PR)
Florianópolis (SC)
Porto Alegre (RS)
Campo Grande (MS)
Cuiabá (MT)
Goiânia (GO)
Brasília (DF)
Observações importantes:
Sobre locais alternativos (item 1.4):
Havendo
indisponibilidade de locais
suficientes ou adequados, as provas poderiam ser realizadas em
outras localidades
As eventuais alterações seriam informadas por ocasião da
convocação para a realização das provas
Sobre a consulta ao local de prova (item 6.3.1):
O candidato deveria obrigatoriamente acessar o site do Cebraspe para verificar seu
local de provas
por meio de busca individual
Era de
responsabilidade exclusiva do candidato
a identificação correta do seu local de realização das provas"
15,Qual horário de referência deve ser considerado pelo candidato no concurso PETROBRAS?,"De acordo com o edital, o horário de referência a ser considerado pelos candidatos é o:
Horário Oficial de Brasília/DF
Esse horário é mencionado em diversos momentos do edital, como por exemplo:
No período de inscrição (Anexo IV):
Das
10h do primeiro dia
às
18h do último dia
(horário oficial de Brasília/DF)
Na divulgação do gabarito (Anexo IV):
A partir das
19 horas
(horário oficial de Brasília/DF)
Nos prazos para interposição de recursos (Anexo IV):
Das
10h do primeiro dia
às
18h do último dia
(horário oficial de Brasília/DF)
No dia da prova (item 8.1):
O candidato deveria comparecer ao local de realização das provas com
antecedência mínima de uma hora
do horário fixado para seu início
Informações importantes sobre o dia da prova:
Não seria admitido
ingresso de candidato no local após o horário fixado para início das provas (item 8.6)
O candidato deveria permanecer no local por, no mínimo,
uma hora
após o início das provas (item 8.7)
As provas teriam duração de
4 horas
e seriam aplicadas no
turno da tarde
(item 6.2)
Portanto, era fundamental que o candidato sempre considerasse o
horário oficial de Brasília/DF
para todos os prazos e eventos do concurso."
16,Onde o candidato encontra o cronograma oficial do concurso PETROBRAS?,"De acordo com o edital, o cronograma oficial do concurso está no:
Anexo IV do próprio edital, intitulado
""Cronograma""
Resumo do cronograma oficial previsto no Anexo IV:
Evento
Data Prevista
Período de inscrição e isenção da taxa
17/12/2021 a 05/01/2022
Verificação de deferimento da foto
06 e 07/01/2022
Consulta provisória da isenção de taxa
14/01/2022
Recursos contra isenção de taxa
17 e 18/01/2022
Consulta final da isenção de taxa
26/01/2022
Data limite para pagamento
28/01/2022
Consulta provisória do atendimento especial
04/02/2022
Divulgação provisória de PCD
04/02/2022
Recursos contra atendimento especial e PCD
07 e 08/02/2022
Consulta final do atendimento especial
14/02/2022
Divulgação final de PCD
14/02/2022
Divulgação dos locais de prova
14/02/2022
Aplicação das provas objetivas
20/02/2022
Divulgação do gabarito preliminar
22/02/2022
Recursos contra o gabarito preliminar
23 e 24/02/2022
Resultado final nas provas objetivas
16/03/2022
Envio de títulos (Ênfase 19)
24 e 25/03/2022
Resultado provisório dos títulos (Ênfase 19)
05/04/2022
Recursos contra títulos (Ênfase 19)
07 e 08/04/2022
Avaliação multiprofissional
09/04/2022
Procedimento de heteroidentificação
10/04/2022
Resultado final dos títulos e provisório da multiprofissional e heteroidentificação
22/04/2022
Recursos contra heteroidentificação e multiprofissional
25 e 26/04/2022
Resultado final da heteroidentificação e multiprofissional
10/05/2022
Envio de documentação para desempate
11 e 12/05/2022
Resultado provisório do desempate
20/05/2022
Recursos contra desempate
23 e 24/05/2022
Resultado final do processo seletivo
30/05/2022
Observação importante (Anexo IV):
As datas e períodos estabelecidos no cronograma são
passíveis de alteração, conforme necessidade e conveniência da
Petrobras
e do
Cebraspe
Caso haja alteração, esta seria
previamente comunicada
por meio de edital"
17,Existe possibilidade de impugnar o edital do concurso PETROBRAS?,"O edital do concurso da Petrobras
não menciona expressamente
um procedimento específico para impugnação do edital em si.
No entanto, o edital prevê alguns mecanismos de recurso e contestação em diversas etapas do processo, conforme abaixo:
Recursos previstos no edital:
Sobre o gabarito (item 7.12.2):
O candidato poderia interpor recursos contra os
gabaritos oficiais preliminares
das provas objetivas
Através do
Sistema Eletrônico de Interposição de Recurso
no site do Cebraspe
Sobre isenção de taxa (item 5.4.8.11):
O candidato poderia interpor recurso contra o
indeferimento da isenção
da taxa de inscrição
Sobre atendimento especial (item 5.4.9.11):
O candidato poderia interpor recurso contra o
indeferimento do atendimento especial
Sobre PCD (item 3.1.10.1):
O candidato poderia interpor recurso contra a
relação provisória
de candidatos com inscrição deferida para concorrer como pessoa com deficiência
Sobre heteroidentificação (item 3.2.15.2):
O candidato poderia interpor recurso contra o resultado provisório no
procedimento de heteroidentificação
Sobre comprovação de requisitos (item 12.5.1):
O candidato teria prazo de até
3 dias úteis
para apresentar recurso contra a eliminação na etapa de comprovação de requisitos
Sobre exames médicos (item 13.7):
O candidato teria prazo de até
3 dias úteis
para apresentar recurso contra a eliminação na avaliação de saúde
Regras gerais sobre recursos (item 7.12):
Os recursos deveriam ser
claros, consistentes e objetivos
Recursos
inconsistentes ou intempestivos
seriam preliminarmente indeferidos
Não seriam aceitos
recursos via postal, requerimento administrativo ou correio eletrônico
Recursos cujo teor
desrespeitasse a banca
seriam preliminarmente indeferidos
Sobre alterações no edital (item 16.16):
Quaisquer alterações nas regras fixadas no edital só poderiam ser feitas por meio de
outro edital
Sobre casos omissos (item 16.17):
Os casos omissos seriam resolvidos pelo
Cebraspe juntamente com a Petrobras
Canais de contato para questionamentos:
Telefone:
(61) 3448-0100
E-mail:
sac@cebraspe.org.br
Presencialmente:
Central de Atendimento ao Candidato do Cebraspe, na UnB – Campus Darcy Ribeiro, Brasília/DF
Das
8h30
às
18h30, exceto sábados, domingos e feriados
Portanto, embora não haja um procedimento formal de
impugnação do edital, o candidato poderia questionar aspectos do concurso através dos canais de atendimento do Cebraspe ou aguardar as fases específicas em que recursos eram permitidos."
18,Qual é o cargo/ênfase/perfil de Ciência de Dados no concurso PETROBRAS?,"De acordo com o
Anexo II
do edital, veja abaixo todas as informações sobre o cargo de Ciência de Dados:
CARGO:
Profissional Petrobras de Nível Superior Júnior
ÊNFASE:
Ênfase 7: Ciência de Dados
REMUNERAÇÃO:
Salário básico de
R$ 6.937,43
Com garantia de remuneração mínima de
R$ 11.716,82
REQUISITOS:
Certificado de conclusão ou diploma, devidamente registrado, de curso de
graduação de nível superior, reconhecido pelo
MEC, Secretarias ou Conselhos Estaduais de Educação
Ou seja,
qualquer curso de graduação
é aceito para esta ênfase
SÍNTESE DAS ATRIBUIÇÕES:
Atuar no
desenvolvimento, análise e modelagem de dados
em diversos segmentos da Companhia
Atuar na
análise, implementação, implantação e consultoria
em soluções baseadas em:
Estatística
Aprendizado de máquina
Processamento digital de imagens
Processamento de linguagem natural (PLN)
Executar a
fiscalização técnica e administrativa
dos contratos de bens e serviços
VAGAS (Anexo I):
Categoria
Vagas
Cadastro de Reserva
Ampla Concorrência (AC)
23
118
Pessoa com Deficiência (PCD)
3
14
Negros
7
33
Total
33
165
PROVAS (item 6.1.1):
(P1)
Prova Objetiva de Conhecimentos Básicos —
50 itens
— eliminatório e classificatório
(P2)
Prova Objetiva de Conhecimentos Específicos —
70 itens
— eliminatório e classificatório
CONTEÚDO PROGRAMÁTICO (Anexo III):
Conhecimentos Básicos:
Língua Portuguesa
Língua Inglesa
Conhecimentos Específicos — Bloco I:
Aprendizado supervisionado: Regressão e Classificação
Métricas de avaliação
Overfitting e underfitting de modelos
Regularização
Seleção de modelos
Validação Cruzada
Algoritmos: Regressão Linear e Logística
Árvores de decisão e random forests
Máquina de suporte de vetores
Naive Bayes, K-NN e Ensembles
Aprendizado supervisionado com Python scikit-learn
Aprendizado não supervisionado (PCA, K-Means, etc.)
Redes neurais artificiais (conceitos, funções de ativação, backpropagation, etc.)
Conhecimentos Específicos — Bloco II:
Machine learning aplicado (visão computacional, PLN, séries temporais)
Manipulação, tratamento e visualização de dados
Python Pandas
Banco de dados e data warehouse
SQL, Hadoop, NoSQL
Conhecimentos Específicos — Bloco III:
Cálculo (funções, limites, derivadas, integrais)
Álgebra Linear para Ciência de Dados
Probabilidade e estatística
Algoritmos e estrutura de dados
Conceitos modernos de sistemas de informação (nuvem, containers, DevOps)
CRITÉRIOS DE ELIMINAÇÃO (item 7.11.4):
O candidato seria eliminado caso obtivesse:
Nota inferior a
10,00 pontos
na prova P1
Nota inferior a
21,00 pontos
na prova P2
Nota inferior a
36,00 pontos
no conjunto das provas"
19,Quantas vagas existem para a área de Ciência de Dados no concurso PETROBRAS?,"De acordo com o
Anexo I
do edital, as vagas para a
Ênfase 7: Ciência de Dados
são:
VAGAS IMEDIATAS:
Categoria
Vagas
Ampla Concorrência (AC)
23
Pessoa com Deficiência (PCD)
3
Negros
7
Total de Vagas
33
CADASTRO DE RESERVA (incluídas as vagas):
Categoria
Cadastro de Reserva
Ampla Concorrência (AC)
118
Pessoa com Deficiência (PCD)
14
Negros
33
Total do Cadastro
165
Informações importantes sobre as vagas:
Sobre as vagas para PCD (item 3.1.1):
8%
das vagas são destinadas às pessoas com deficiência
Caso não haja candidatos PCD aprovados, as vagas seriam preenchidas pelos demais candidatos
Sobre as vagas para negros (item 3.2.1):
20%
das vagas são destinadas aos candidatos negros
Caso não haja candidatos negros aprovados em número suficiente, as vagas seriam revertidas para ampla concorrência
Sobre o cadastro de reserva (item 11.2):
Fariam parte do cadastro os candidatos aprovados dentro das classificações abrangidas por até
cinco vezes o número de vagas
oferecidas
Os candidatos do cadastro de reserva poderiam ser convocados de acordo com a
necessidade e conveniência da Petrobras
Sobre a validade do concurso (item 11.5):
As vagas poderiam ser preenchidas durante o prazo de validade do concurso de
12 meses, prorrogável por mais
12 meses
a critério da Petrobras"
20,Quantas vagas imediatas existem para Ciência de Dados no concurso PETROBRAS?,"De acordo com o
Anexo I
do edital, as vagas imediatas para a
Ênfase 7: Ciência de Dados
são:
VAGAS IMEDIATAS:
Categoria
Vagas
Ampla Concorrência (AC)
23
Pessoa com Deficiência (PCD)
3
Negros
7
Total de Vagas Imediatas
33
Informações importantes sobre as vagas imediatas:
Sobre as vagas para PCD (item 3.1.1):
Correspondem a
8%
do total de vagas
Caso não haja candidatos PCD aprovados, as vagas seriam ocupadas pelos demais candidatos na ordem geral de classificação
Sobre as vagas para negros (item 3.2.1):
Correspondem a
20%
do total de vagas
Caso não haja candidatos negros aprovados em número suficiente, as vagas seriam revertidas para a ampla concorrência
Sobre a concorrência (item 3.2.9):
Os candidatos negros concorreriam
concomitantemente
às vagas reservadas e às vagas da ampla concorrência
Os candidatos negros e PCD também concorreriam
concomitantemente
às vagas reservadas para ambas as categorias
Portanto, o total de vagas imediatas para a Ênfase 7: Ciência de Dados é de
33 vagas."
21,Qual percentual ou regra de reserva de vagas PcD existe no concurso PETROBRAS?,"De acordo com o item
3.1.1
do edital, a regra de reserva de vagas para Pessoas com Deficiência (PCD) é:
PERCENTUAL DE RESERVA:
8%
das vagas destinadas a cada ênfase
REGRAS GERAIS SOBRE AS VAGAS PCD:
Sobre fração de vagas (item 3.1.1.1):
Caso a aplicação do percentual resulte em número fracionado, este deverá ser
elevado até o primeiro número inteiro subsequente
Desde que
não ultrapasse 20%
das vagas oferecidas por ênfase
Sobre vagas remanescentes (item 3.1.2):
O percentual de reserva seria observado também na hipótese de
aproveitamento de vagas remanescentes
e na formação de
cadastro de reserva
Sobre vagas não preenchidas (item 3.1.3):
As vagas reservadas às PCD poderiam ser ocupadas por candidatos
sem deficiência
na hipótese de:
Não haver inscrição de candidatos com deficiência
Não haver aprovação de candidatos com deficiência
QUEM É CONSIDERADO PCD (item 3.1.4):
São consideradas pessoas com deficiência aquelas que se enquadrarem em:
Art. 2º da Lei nº 13.146/2015
(Lei Brasileira de Inclusão)
Art. 4º do Decreto nº 3.298/1999
com alterações do Decreto nº 5.296/2004
§ 1º do art. 1º da Lei nº 12.764/2012
(Transtorno do Espectro Autista)
Lei nº 14.126/2021
Observados os dispositivos da
Convenção sobre os Direitos da Pessoa com Deficiência
PARA CONCORRER ÀS VAGAS PCD (item 3.1.5):
O candidato deveria:
Declarar-se pessoa com deficiência
no ato da inscrição
Enviar via upload
laudo médico
emitido no máximo nos
12 meses anteriores
à data de publicação do edital, contendo:
Espécie e grau ou nível da deficiência
Código correspondente da
CID-10
Provável causa da deficiência
Assinatura e carimbo do médico com número do
CRM
SOBRE A AVALIAÇÃO MULTIPROFISSIONAL (item 3.1.12.1):
Os candidatos PCD seriam convocados para avaliação por equipe composta de
5 profissionais:
1 médico
1 psicólogo
3 profissionais da Petrobras da carreira a que o candidato concorre
CAUSAS DE PERDA DO DIREITO ÀS VAGAS PCD (item 3.1.12.7):
O candidato perderia o direito de concorrer às vagas reservadas caso:
Não apresentasse o
parecer multiprofissional
Apresentasse parecer com mais de
12 meses
de emissão
Não comparecer
à avaliação multiprofissional
Não for considerado
pessoa com deficiência na avaliação
Não apresentar
documento de identidade original
Evadir-se do local sem passar por
todos os procedimentos
VAGAS PCD POR ÊNFASE (Anexo I):
Ênfase
Vagas PCD
Total de Vagas
Ênfase 1: Administração
3
33
Ênfase 2: Análise – Comércio e Suprimento
3
36
Ênfase 3: Análise – Transporte Marítimo
*
4
Ênfase 4: Analista de Sistemas – Eng. de Software
3
26
Ênfase 5: Analista de Sistemas – Infraestrutura
1
8
Ênfase 6: Analista de Sistemas – Proc. de Negócio
2
15
Ênfase 7: Ciência de Dados
3
33
Ênfase 8: Economia
*
3
Ênfase 9: Engenharia Ambiental
*
2
Ênfase 10: Engenharia Civil
1
8
Ênfase 11: Eng. de Equipamentos – Elétrica
4
39
Ênfase 12: Eng. de Equipamentos – Eletrônica
3
26
Ênfase 13: Eng. de Equipamentos – Inspeção
1
11
Ênfase 14: Eng. de Equipamentos – Mecânica
13
158
Ênfase 15: Eng. de Equipamentos – Terminais e Dutos
1
8
Ênfase 16: Engenharia de Petróleo
8
97
Ênfase 17: Engenharia de Processamento
3
32
Ênfase 18: Engenharia de Produção
9
101
Ênfase 19: Eng. de Segurança de Processo
4
42
Ênfase 20: Eng. de Segurança do Trabalho
2
22
Ênfase 21: Engenharia Naval
2
21
Ênfase 22: Geofísica – Física
*
2
Ênfase 23: Geofísica – Geologia
1
12
Ênfase 24: Geologia
2
18
*Não haverá reserva imediata de vaga para PCD em razão do quantitativo oferecido, sendo mantido cadastro de reserva.
Portanto, o percentual de reserva de vagas PCD no concurso Petrobras é de 8% das vagas de cada ênfase."
22,Qual percentual ou regra de reserva de vagas para candidatos negros existe no concurso PETROBRAS?,"De acordo com o item
3.2.1
do edital, a regra de reserva de vagas para candidatos negros é:
PERCENTUAL DE RESERVA:
20%
das vagas destinadas a cada ênfase
REGRAS GERAIS SOBRE AS VAGAS PARA NEGROS:
Sobre fração de vagas (item 3.2.1.1):
Caso a aplicação do percentual resulte em número fracionado:
Seria
elevado
até o primeiro número inteiro subsequente em caso de fração
igual ou maior que 0,5
Seria
diminuído
para o número inteiro imediatamente inferior em caso de fração
menor que 0,5
Sobre reserva imediata (item 3.2.1.2):
Somente haveria reserva imediata de vagas para candidatos negros nas ênfases com número de vagas
igual ou superior a três
Sobre a autodeclaração (item 3.2.1.3):
O candidato deveria, no ato da inscrição:
Optar
por concorrer às vagas reservadas aos negros
Autodeclarar-se negro, conforme quesito cor ou raça utilizado pelo
IBGE
Até o final do período de inscrição, seria facultado ao candidato
desistir
de concorrer pelo sistema de reserva de vagas
SOBRE O PROCEDIMENTO DE HETEROIDENTIFICAÇÃO (item 3.2.2):
O que é (item 3.2.2.2):
É a
identificação por terceiros
da condição autodeclarada pelo candidato
Sobre a comissão (item 3.2.2.3.1):
Seria composta por
5 integrantes
e seus suplentes
Os nomes dos integrantes
não seriam divulgados
Deveria ter integrantes distribuídos por
gênero, cor
e, preferencialmente,
naturalidade
Sobre a filmagem (item 3.2.2.4):
O procedimento seria
filmado
pelo Cebraspe
O candidato que se
recusar
a ser filmado seria eliminado do processo seletivo
Sobre o critério utilizado (item 3.2.2.5):
A comissão utilizaria
exclusivamente o critério fenotípico
para aferição da condição declarada
Seriam consideradas as características fenotípicas do candidato
ao tempo
de realização do procedimento
Não seriam considerados
quaisquer registros ou documentos pretéritos, inclusive imagens e certidões de procedimentos anteriores
Sobre o resultado (item 3.2.2.6):
Seria considerado preto ou pardo o candidato reconhecido por, pelo menos,
2 membros
da comissão
As deliberações teriam validade
apenas para este processo seletivo
É
vedado
à comissão deliberar na presença dos candidatos
CAUSAS DE ELIMINAÇÃO (item 3.2.2.7):
Seria eliminado do processo seletivo o candidato que:
Não for considerado negro
pela comissão de heteroidentificação
Recusar-se
a ser filmado
Prestar declaração falsa
Não comparecer
ao procedimento de heteroidentificação
SOBRE A CONCORRÊNCIA (itens 3.2.9 e 3.2.10):
Os candidatos negros concorreriam
concomitantemente
às vagas reservadas e às vagas da ampla concorrência
Os candidatos negros também concorreriam concomitantemente às vagas reservadas a
pessoas com deficiência, se atenderem a essa condição
Sobre vagas não preenchidas (item 3.2.13):
Caso não haja candidatos negros aprovados em número suficiente, as vagas remanescentes seriam
revertidas para ampla concorrência
VAGAS PARA NEGROS POR ÊNFASE (Anexo I):
Ênfase
Vagas Negros
Total de Vagas
Ênfase 1: Administração
7
33
Ênfase 2: Análise – Comércio e Suprimento
7
36
Ênfase 3: Análise – Transporte Marítimo
1
4
Ênfase 4: Analista de Sistemas – Eng. de Software
5
26
Ênfase 5: Analista de Sistemas – Infraestrutura
2
8
Ênfase 6: Analista de Sistemas – Proc. de Negócio
3
15
Ênfase 7: Ciência de Dados
7
33
Ênfase 8: Economia
1
3
Ênfase 9: Engenharia Ambiental
*
2
Ênfase 10: Engenharia Civil
2
8
Ênfase 11: Eng. de Equipamentos – Elétrica
*
39
Ênfase 12: Eng. de Equipamentos – Eletrônica
5
26
Ênfase 13: Eng. de Equipamentos – Inspeção
2
11
Ênfase 14: Eng. de Equipamentos – Mecânica
32
158
Ênfase 15: Eng. de Equipamentos – Terminais e Dutos
2
8
Ênfase 16: Engenharia de Petróleo
19
97
Ênfase 17: Engenharia de Processamento
6
32
Ênfase 18: Engenharia de Produção
20
101
Ênfase 19: Eng. de Segurança de Processo
8
42
Ênfase 20: Eng. de Segurança do Trabalho
4
22
Ênfase 21: Engenharia Naval
4
21
Ênfase 22: Geofísica – Física
*
2
Ênfase 23: Geofísica – Geologia
2
12
Ênfase 24: Geologia
3
18
*Não haverá reserva imediata de vaga para negros em razão do quantitativo oferecido, sendo mantido cadastro de reserva.
SOBRE A COMISSÃO RECURSAL (item 3.2.15):
O resultado provisório do procedimento de heteroidentificação teria previsão de
comissão recursal
Composta de
3 integrantes distintos
dos membros da comissão de heteroidentificação
Das decisões da comissão recursal
não caberá recurso
Portanto, o percentual de reserva de vagas para candidatos negros no concurso Petrobras é de 20% das vagas de cada ênfase."
