id,pergunta,resposta
20,Quantas vagas imediatas existem para Ciência de Dados no concurso CVM?,"Existem
7 vagas imediatas
para o perfil
Analista CVM – Ciência de Dados (Perfil 7)
no concurso CVM."
21,Qual percentual ou regra de reserva de vagas PcD existe no concurso CVM?,"O edital do concurso CVM prevê a reserva de
5% das vagas
para
Pessoas com Deficiência (PcD), incluindo as vagas imediatas e aquelas que vierem a ser criadas durante o prazo de validade do concurso.
A reserva segue:
o § 2º do art. 5º da Lei nº 8.112/1990;
o Decreto nº 9.508/2018.
Além disso, quando o cálculo resultar em número fracionado, ele será elevado para o primeiro número inteiro subsequente, desde que não ultrapasse 20% das vagas ofertadas."
22,Qual percentual ou regra de reserva de vagas para candidatos negros existe no concurso CVM?,"O concurso CVM reserva
20% das vagas
para candidatos negros (pretos e pardos), tanto nas vagas imediatas quanto nas que vierem a surgir durante o prazo de validade do concurso.
A regra está fundamentada na:
Lei nº 12.990/2014;
Instrução Normativa MGI nº 23/2023.
O candidato deve se autodeclarar preto ou pardo no momento da inscrição, conforme o critério de cor ou raça utilizado pelo IBGE, e posteriormente passa por procedimento de heteroidentificação realizado pela FGV."
23,Qual a remuneração ou salário do cargo do concurso CVM?,"A remuneração inicial dos cargos do concurso CVM é de
R$ 20.924,80."
24,Qual é o regime de contratação ou vínculo do concurso CVM?,"Os candidatos nomeados no concurso CVM estarão submetidos ao
regime jurídico da Lei nº 8.112/1990, ou seja, ao
regime estatutário dos servidores públicos federais."
25,Qual é a jornada de trabalho do cargo no concurso CVM?,O edital anexado não informa expressamente a jornada de trabalho/carga horária dos cargos da CVM.
26,Qual escolaridade é exigida para concorrer à área de Ciência de Dados no concurso CVM?,"Para concorrer ao cargo de
Analista CVM – Perfil 7 (Ciência de Dados)
é exigido:
Diploma de curso superior em nível de graduação, em qualquer área de formação, devidamente registrado e reconhecido pelo MEC.
Não há exigência de formação específica em Ciência de Dados, TI, Estatística ou áreas correlatas."
27,O concurso CVM exige registro em conselho profissional para Ciência de Dados?,"Não.
Para o cargo de
Analista CVM – Perfil 7 (Ciência de Dados)
o edital não exige registro em conselho profissional.
O registro em conselho é exigido apenas para:
Inspetor – Contabilidade e Auditoria (Perfil 3);
Analista – Contabilidade Pública (Perfil 6),
que necessitam de registro ativo no Conselho Regional de Contabilidade (CRC)."
28,"Quais requisitos gerais de idade, nacionalidade e situação regular o candidato deve observar no concurso CVM?","Os requisitos gerais previstos no edital do concurso CVM incluem:
Ter sido aprovado no concurso;
Possuir nacionalidade brasileira ou portuguesa (com amparo do estatuto de igualdade entre brasileiros e portugueses);
Estar em pleno gozo dos direitos políticos;
Estar quite com as obrigações eleitorais;
Estar quite com as obrigações militares, no caso de candidato do sexo masculino;
Ter idade mínima de 18 anos completos na data da posse;
Possuir aptidão física e mental para o exercício do cargo;
Não estar em débito com o erário;
Não possuir impedimentos legais para investidura em cargo público federal;
Apresentar a documentação exigida no edital no momento da posse."
29,O cargo de Ciência de Dados exige disponibilidade para viagens no concurso CVM?,"Não. O edital do concurso CVM não prevê, para o cargo de
Analista – Ciência de Dados (Perfil 7), exigência específica de disponibilidade para viagens."
30,Quais são as atribuições gerais do cargo ligado à Ciência de Dados no concurso CVM?,"As atribuições gerais do cargo de
Analista da CVM, aplicáveis ao perfil de
Ciência de Dados (Perfil 7), incluem:
Desenvolvimento de atividades ligadas ao controle, normatização, registro de eventos e aperfeiçoamento do mercado de valores mobiliários;
Elaboração de normas contábeis e de auditoria;
Desenvolvimento e auditoria de sistemas de processamento eletrônico de dados e racionalização de métodos, procedimentos e tratamento de informações;
Planejamento e controle nas áreas de administração, recursos humanos, orçamento, finanças e auditoria;
Exercício das atribuições previstas em leis e regulamentos específicos."
31,O concurso CVM contém provas objetivas?,"Sim. O concurso CVM possui
Prova Objetiva, com caráter
eliminatório e classificatório."
32,Quantas questões ou itens objetivos existem no concurso CVM?,"A Prova Objetiva do concurso CVM possui
110 questões de múltipla escolha, distribuídas da seguinte forma:
40 questões
de Conhecimentos Básicos;
70 questões
de Conhecimentos Específicos.
Cada questão vale
1 ponto, totalizando
110 pontos."
33,Qual o total de pontos das provas objetivas para o concurso CVM?,"A Prova Objetiva do concurso CVM totaliza
110 pontos, pois são
110 questões, valendo
1 ponto cada."
34,Quantas alternativas existem para as questões objetivas do concurso CVM?,"Cada questão da Prova Objetiva do concurso CVM possui
5 alternativas, sendo apenas
uma correta."
35,Quantas questões ou itens de conhecimentos básicos existem no concurso CVM?,"A Prova Objetiva do concurso CVM possui
40 questões de Conhecimentos Básicos."
36,Quantas questões ou itens de conhecimentos específicos existem no concurso CVM?,"A Prova Objetiva do concurso CVM possui
70 questões de Conhecimentos Específicos."
37,Como é dividida a prova de conhecimentos específicos de Ciência de Dados no concurso CVM?,"A prova de Conhecimentos Específicos para o cargo de
Analista CVM – Ciência de Dados (Perfil 7)
é dividida da seguinte forma:
Ciência de Dados
– 25 questões;
Linguagens e Banco de Dados
– 20 questões;
Matemática e Estatística
– 15 questões;
Gestão de Projetos
– 10 questões.
Total:
70 questões."
38,Qual é o critério mínimo de aprovação na prova objetiva do concurso CVM?,"Para ser aprovado na Prova Objetiva do concurso CVM, o candidato deve cumprir cumulativamente os seguintes critérios:
Obter pelo menos
16 acertos
em Conhecimentos Básicos;
Obter pelo menos
28 acertos
em Conhecimentos Específicos;
Não tirar nota zero na disciplina
Estrutura do Mercado de Valores Mobiliários (MVM)."
39,Existe penalidade por erro na prova objetiva do concurso CVM?,"Não.
O edital do concurso CVM não prevê penalidade por erro (como desconto de pontos por resposta incorreta) na Prova Objetiva.
Cada questão vale 1 ponto, e respostas erradas apenas deixam de somar pontos."
40,O concurso CVM possui prova discursiva para Ciência de Dados?,"Sim. O concurso CVM possui
Prova Discursiva
para o cargo de
Analista CVM – Ciência de Dados (Perfil 7), com caráter eliminatório e classificatório."
41,Como é composta a prova discursiva de Ciência de Dados no concurso CVM?,"Para o cargo de
Analista CVM – Ciência de Dados (Perfil 7), a Prova Discursiva é composta por:
2 questões discursivas;
cada questão deve ser respondida em até
30 linhas;
cada questão vale
20 pontos;
total da prova:
40 pontos."
42,Quantos pontos vale a prova discursiva do concurso CVM?,"A Prova Discursiva do concurso CVM vale
40 pontos
no total."
43,Qual é a nota mínima da prova discursiva no concurso CVM?,"Será eliminado do concurso o candidato que obtiver nota inferior a
16 pontos
na Prova Discursiva, cujo total é de 40 pontos."
44,Quantas provas discursivas de Ciência de Dados serão corrigidas no concurso CVM?,"Para o cargo de
Analista CVM – Ciência de Dados (Perfil 7), serão corrigidas as seguintes quantidades de provas discursivas:
35
da ampla concorrência;
5
de candidatos PcD;
35
de candidatos negros.
Respeitados os empates na última posição."
45,Como é calculada a nota final do concurso CVM para Ciência de Dados?,"Para o cargo de
Analista CVM – Ciência de Dados (Perfil 7), a nota final do concurso é calculada pela
soma das notas obtidas:
na
Prova Objetiva; e
na
Prova Discursiva.
Como a Prova Objetiva vale até
110 pontos
e a Prova Discursiva vale até
40 pontos, a nota final pode chegar a
150 pontos."
46,Qual é a data prevista ou oficial da prova do concurso CVM?,"A data prevista para realização das provas do concurso CVM foi
26 de maio de 2024."
47,Qual é a duração ou organização dos turnos de prova do concurso CVM?,"As provas do concurso CVM foram organizadas em
dois turnos
no mesmo dia:
Turno da manhã
Horário:
8h às 12h30
Aplicação de:
Prova Objetiva de Conhecimentos Básicos;
Prova Discursiva.
Turno da tarde
Horário:
15h às 19h
Aplicação de:
Prova Objetiva de Conhecimentos Específicos.
Todos os horários seguem o horário oficial de Brasília/DF."
48,Qual tipo de caneta pode ser utilizado para realizar o concurso CVM?,"O candidato deve utilizar
caneta esferográfica de tinta azul ou preta, fabricada em
material transparente."
49,Como o candidato deve se identificar no dia da prova do concurso CVM?,"No dia da prova, o candidato deve apresentar:
Documento de identidade original com foto;
além do
comprovante de inscrição ou comprovante de pagamento da taxa de inscrição.
O edital aceita, entre outros documentos: RG, CNH, passaporte, carteira de trabalho, certificado de reservista e carteiras profissionais reconhecidas por lei."
50,Quais cuidados o candidato deve ter com o cartão ou folha de respostas no concurso CVM?,"O candidato deve tomar diversos cuidados com o cartão de respostas e a folha de textos definitivos no concurso CVM, entre eles:
Utilizar apenas
caneta esferográfica azul ou preta
em material transparente;
Marcar apenas uma alternativa por questão;
Evitar rasuras, emendas ou marcações incompletas;
Não amassar, dobrar, molhar, rasgar ou manchar o cartão de respostas;
Conferir os dados pessoais impressos no documento;
Transcrever corretamente as respostas discursivas para a folha definitiva;
Não assinar, rubricar nem colocar qualquer identificação na folha da prova discursiva;
Entregar obrigatoriamente o cartão de respostas ao fiscal ao final da prova.
O descumprimento dessas regras pode causar anulação da questão ou eliminação do candidato."
